U28900MH1984PTC034016,BHANSALI ENGINEERING INDUSTRIES PRIVATE LIMITED,Factory/plant,Abu Road plant: Sirohi District - 307026 Rajasthan - India Phone : 02974-226781 Fax : 02974-226737 Email :rpsraghav@bhansaliabs.com Internet :,24.4454258,72.7507354,Abu Rd,Abu Rd,Rajasthan
L26940OR2011PLC013933,ORIENT CEMENT LIMITED,Factory/plant,P.O. Devapur Cement Works Adilabad District - 504218 Telangana - India Phone : 08736-240709 Fax : 08736-240522 Email :devapur@orientcement.com Internet :,19.0336539,79.3530301,Devapur,Adilabad,Telangana
L21011OR1936PLC000117,ORIENT PAPER AND INDUSTRIES LTD.,Factory/plant,Orient Cement Adilabad District - 504218 Telangana - India Phone : Fax : Email : Internet :,19.0581844,79.3690831,,Adilabad,Telangana
L31200MP1999PLC013571,UJAAS ENERGY LIMITED,Factory/plant,Solar Power Division: Aagar Dist. - 465447 Madhya Pradesh - India Phone : Fax : Email : Internet :,23.926835,76.121677,Amla Nankar,Agar Malwa,Madhya Pradesh
L31200MP1999PLC013571,UJAAS ENERGY LIMITED,Factory/plant,Rojhani Park Aagar Dist. - 465441 Madhya Pradesh - India Phone : Fax : Email : Internet :,23.926835,76.121677,Amla Nankar,Agar Malwa,Madhya Pradesh
L31200MP1999PLC013571,UJAAS ENERGY LIMITED,Factory/plant,Solar Power Division: Aagar Dist. - 465441 Madhya Pradesh - India Phone : Fax : Email : Internet :,23.926835,76.121677,Amla Nankar,Agar Malwa,Madhya Pradesh
L22121DL2002PLC117874,HT MEDIA LIMITED,Factory/plant,C-4 UPSIDC Agra - 282002 Uttar Pradesh - India Phone : Fax : Email : Internet :,27.2009811,77.9909949,Agra,Agra,Uttar Pradesh
L21090BR1918PLC000013,HINDUSTAN MEDIA VENTURES LIMITED,Factory/plant,Plot No. 660/2 Agra - 282007 Uttar Pradesh - India Phone : Fax : Email : Internet :,27.211011,78.0024107,Agra,Agra,Uttar Pradesh
L22219UP1975PLC004147,JAGRAN PRAKASHAN LIMITED,Factory/plant,B-1 Site A Agra - Uttar Pradesh - India Phone : Fax : Email : Internet :,27.1766701,78.0080745,Agra,Agra,Uttar Pradesh
U22121UP2005PTC030644,JAGRAN PRAKASHAN (MPC) PRIVATE LIMITED,Factory/plant,B-1 Site A Agra - Uttar Pradesh - India Phone : Fax : Email : Internet :,27.1766701,78.0080745,Agra,Agra,Uttar Pradesh
L72900UP1986PLC008448,SPICE MOBILITY LIMITED,Factory/plant,Mittal Traders Agra - 282005 Uttar Pradesh - India Phone : Fax : Email : Internet :,27.209706,78.018621,Agra,Agra,Uttar Pradesh
